station_code,month,temp,sp_cond,sal,do_pct,do_mgl,depth,c_depth,ph,turb,chl_fluor,level,c_level,state,coast
elkvmwq,1,13.45211694,47.79753696,31.12385753,97.73400538,8.404233871,NA,NA,7.898017473,8.373655914,NA,1.13359879,1.088817204,California,Pacific
elkvmwq,2,13.43857759,47.14641523,30.64885057,97.02521552,8.368642241,NA,NA,7.764260057,4.515086207,NA,1.099551006,1.035928854,California,Pacific
elkvmwq,3,14.47445378,45.17910588,29.26568067,94.46423529,8.049445378,NA,NA,7.890722689,18.30554622,NA,1.037801681,1.002655462,California,Pacific
elkvmwq,4,14.05107639,47.95115972,31.24729167,90.75708333,7.707222222,NA,NA,8.001631944,6.349305556,NA,0.963378472,0.938128472,California,Pacific
elkvmwq,5,14.66992608,47.88331989,31.21266801,95.88461022,8.044590054,NA,NA,8.047916667,4.309811828,NA,1.018329973,1.01688172,California,Pacific
elkvmwq,6,14.85555556,47.54528125,30.97006944,99.84809028,8.356979167,NA,NA,8.146354167,5.282986111,NA,1.085059028,1.079252953,California,Pacific
elkvmwq,7,14.60013441,51.61543683,33.93706317,99.84344758,8.259106183,NA,NA,8.101612903,3.193548387,NA,1.075084005,1.089042056,California,Pacific
elkvmwq,8,15.1515457,48.60903226,31.75036962,93.24418683,7.721236559,NA,NA,7.805040323,3.67405914,NA,1.113151882,1.124172343,California,Pacific
elkvmwq,9,15.26586806,47.70966667,31.09836806,99.32458333,8.2209375,NA,NA,8.051006944,5.636111111,NA,1.130861111,1.129197638,California,Pacific
elkvmwq,10,15.01122312,48.16285954,31.42318548,98.93316532,8.213373656,NA,NA,8.047849462,4.516801075,NA,1.103151882,1.094170027,California,Pacific
elkvmwq,11,14.39333565,48.79347102,31.8644915,93.38583825,7.847171121,NA,NA,8.014578271,14.54842069,NA,1.128785144,1.088278376,California,Pacific
elkvmwq,12,12.01334005,48.33099798,31.45033602,94.42977151,8.355712366,NA,NA,7.874764785,6.501680108,NA,1.11703629,1.069724462,California,Pacific
gndblwq,1,11.6625,26.21471438,16.0719422,101.5362567,9.981787634,0.546629704,0.494224727,7.958870968,7.36827957,NA,NA,NA,Mississippi,Gulf
gndblwq,2,14.78649425,28.83197557,17.83211207,98.20089799,8.965625,0.473469828,0.419845962,7.932183908,10.5549569,NA,NA,NA,Mississippi,Gulf
gndblwq,3,19.83229167,18.42800739,11.03568548,93.4015457,8.000369624,0.567748656,0.553499696,7.069791667,9.5,NA,NA,NA,Mississippi,Gulf
gndblwq,4,22.55027778,17.74527083,10.51385417,91.24847222,7.443958333,0.679510417,0.680631879,7.431423611,11.41944444,NA,NA,NA,Mississippi,Gulf
gndblwq,5,26.64833613,27.35317647,16.77657143,91.84238655,6.702252101,0.643680672,0.604622601,7.659731092,9.538487395,NA,NA,NA,Mississippi,Gulf
gndblwq,6,30.30878777,29.23907954,17.96130601,86.43629733,5.887113581,0.551729767,0.521198333,7.717089267,10.28725252,NA,NA,NA,Mississippi,Gulf
gndblwq,7,31.19640094,34.44568786,21.49687185,92.45586949,6.086141944,0.52605449,0.47830515,7.993911874,10.47359569,NA,NA,NA,Mississippi,Gulf
